DOLocationID,month,time,day_of_the_week,num_pickups
68,2,6,0,574
68,2,18,1,1693
238,2,0,1,411
237,2,16,4,2862
229,2,16,2,1040
231,2,11,0,903
100,2,21,4,1025
262,2,0,4,492
249,2,8,5,331
231,2,7,0,981
87,2,13,3,480
170,2,18,5,2195
45,2,18,1,169
87,2,20,6,437
90,2,20,1,1248
237,2,16,5,2399
186,2,14,3,2359
230,2,7,0,2371
50,2,21,0,723
239,2,21,3,2366
246,2,6,3,743
230,2,18,3,2683
249,2,17,6,1303
107,2,15,4,1208
236,2,13,1,2977
170,2,13,3,2412
142,2,18,3,3348
262,2,17,2,1404
48,2,20,2,2233
161,2,18,1,2140
161,2,7,4,5481
113,2,17,6,1038
186,2,7,1,1111
