[INFO] 2023-07-19 15:07:48,062  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:07:54,855  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:07:54,885  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:12:23,866  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:12:23,881  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:12:26,872  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:12:26,886  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:13:05,072  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:13:05,091  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:13:25,004  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:13:25,041  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:13:46,569  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:13:46,574  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:13:53,780  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:13:53,781  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:16:06,701  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:16:06,724  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:16:33,068  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:16:33,101  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:16:43,013  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:16:43,015  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:19:59,851  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:19:59,887  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:20:03,473  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:20:03,497  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:20:14,856  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:20:14,859  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:20:28,109  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/6' | 200
[INFO] 2023-07-19 15:20:28,110  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/6' | 200
[INFO] 2023-07-19 15:21:12,559  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:21:12,586  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:21:32,493  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:21:32,576  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:22:26,125  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:22:26,155  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:22:43,364  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:22:43,523  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:23:26,413  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:23:26,444  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:23:34,904  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:23:35,085  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:25:17,004  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:25:17,019  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:25:24,587  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:25:24,716  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:25:37,560  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:25:37,568  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/1' | 200
[INFO] 2023-07-19 15:26:00,142  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:26:00,190  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:26:15,944  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:26:15,951  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:27:19,459  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:27:19,491  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:27:36,320  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:27:36,336  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:27:51,142  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 15:27:51,241  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/3' | 200
[INFO] 2023-07-19 15:28:11,644  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:28:11,679  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z' | 200
[INFO] 2023-07-19 15:28:48,147  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:28:48,151  | 127.0.0.1 | GET '/predict/2023-07-19T00:00:00.000Z/2' | 200
[INFO] 2023-07-19 15:29:13,989  | 127.0.0.1 | GET '/baseline/2023-07-19T00:00:00.000Z/3' | 200
