"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-10","4.3","0.0","0.0","0.0",,"10.0","5.6","  300","  300","9.4","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-11","2.2","0.0","0.0","0.0",,"16.1","4.4","  300","  190","5.4","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-12","1.7","1.8","0.0","0.0",,"22.2","10.0","  310","  300","5.4","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-13","1.7","0.0","0.0","0.0",,"21.7","12.8","  170","  170","6.3","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-14","2.1","1.5","0.0","0.0",,"26.1","13.9","  290","  320","7.2","11.6",,,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-15","2.6","0.0","0.0","0.0",,"21.1","11.1","  190","  200","6.7","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-16","2.8","5.1","0.0","0.0",,"22.8","6.7","  350","  220","6.3","11.6","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-17","3.1","0.0","0.0","0.0",,"10.6","5.0","  300","  320","8.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-18","3.4","21.6","0.0","0.0",,"12.2","3.9","   70","   70","9.4","14.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-19","4.7","31.5","0.0","0.0",,"10.0","3.9","   60","   50","11.2","16.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-20","2.8","0.0","0.0","0.0",,"15.6","5.6","  300","  300","8.9","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-21","2.7","0.0","0.0","0.0",,"15.0","6.7","  180","  140","7.2","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-22","2.8","0.0","0.0","0.0",,"21.1","11.7","  300","  320","6.7","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-23","2.3","0.0","0.0","0.0",,"18.3","10.6","  170","  190","4.5","7.6",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-24","2.4","0.0","0.0","0.0",,"17.2","8.9","   60","  130","6.3","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-25","2.2","0.0","0.0","0.0",,"14.4","7.8","  130","  120","5.4","8.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-26","1.5","0.5","0.0","0.0",,"15.6","11.1","   50","  120","4.5","8.1","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-27","4.7","0.0","0.0","0.0",,"14.4","5.0","  300","  320","8.9","14.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-28","4.6","0.0","0.0","0.0",,"14.4","4.4","  300","  320","9.4","15.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-29","3.5","0.0","0.0","0.0",,"17.2","5.0","  300","  300","8.1","11.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-04-30","1.3","0.0","0.0","0.0",,"20.0","6.7","  300","  360","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-01","1.4","0.0","0.0","0.0",,"20.6","8.3","  130","  130","5.8","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-02","2.1","5.8","0.0","0.0",,"13.3","10.6","   60","  260","5.4","7.6","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-03","2.6","0.0","0.0","0.0",,"16.7","10.6","   80","   50","5.8","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-04","1.1","2.0","0.0","0.0",,"18.3","10.0","   10","   90","4.0","7.2","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-05","1.9","0.0","0.0","0.0",,"23.3","13.3","   50","   20","6.3","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-06","1.6","17.5","0.0","0.0",,"16.1","9.4","   50","   50","5.8","8.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-07","4.9","23.4","0.0","0.0",,"10.0","7.2","   60","   50","9.8","15.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-08","5.0","0.0","0.0","0.0",,"14.4","7.2","   60","   60","10.7","13.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-09","5.1","0.0","0.0","0.0",,"21.1","8.3","   60","   60","9.4","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-10","4.5","0.0","0.0","0.0",,"22.8","10.6","   50","   50","10.3","13.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-11","2.5","0.0","0.0","0.0",,"23.9","11.7","   50","   50","8.1","11.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-12","2.2","0.0","0.0","0.0",,"23.9","14.4","   50","   80","6.3","8.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-13","1.9","0.8","0.0","0.0",,"22.2","13.9","   70","   60","6.3","8.5","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-14","1.3","5.6","0.0","0.0",,"22.2","15.6","  150","  130","3.6","6.3","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-15","1.0","2.5","0.0","0.0",,"24.4","15.6","  220","  180","4.0","7.2","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-16","2.2","3.0","0.0","0.0",,"23.9","16.1","  270","  250","6.7","10.3","    1",,"    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-17","3.1","0.0","0.0","0.0",,"25.0","13.9","  290","  290","8.9","14.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-18","1.8","0.3","0.0","0.0",,"22.2","12.8","  300","  290","6.3","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-19","1.1","18.5","0.0","0.0",,"18.9","12.2","  230","  140","4.0","6.7","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-20","1.6","10.2","0.0","0.0",,"20.6","12.8","  120","  130","4.5","7.6","    1","    1","    1",,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-21","0.7","0.0","0.0","0.0",,"32.2","16.7","  230","  230","4.0","6.3","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-22","1.8","0.0","0.0","0.0",,"31.7","22.2","  310","  310","6.3","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-23","3.0","0.0","0.0","0.0",,"22.8","16.1","   50","   40","7.2","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-24","2.1","0.0","0.0","0.0",,"19.4","13.9","   60","   60","7.2","9.4",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-25","1.3","0.0","0.0","0.0",,"21.1","11.7","  150","  130","4.0","7.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-26","1.6","0.0","0.0","0.0",,"21.1","12.2","  140","  120","5.4","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-27","1.3","6.9","0.0","0.0",,"26.7","18.3","  210","  170","5.4","8.9","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-28","1.5","18.3","0.0","0.0",,"23.3","17.2","  260","  240","9.4","19.2","    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-29","0.8","0.0","0.0","0.0",,"25.0","15.0","  250","  150","3.6","6.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-30","1.3","0.0","0.0","0.0",,"28.9","17.2","  240","  130","4.0","7.6",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-05-31","2.2","0.0","0.0","0.0",,"33.9","18.3","   60","   70","6.7","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-01","2.9","18.0","0.0","0.0",,"22.2","15.6","   60","   60","7.2","9.4","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-02","1.4","11.4","0.0","0.0",,"26.1","16.7","  360","  350","5.8","9.8","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-03","1.6","0.0","0.0","0.0",,"24.4","16.7","   50","   50","3.6","5.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-04","1.0","0.0","0.0","0.0",,"26.7","16.1","  340","  170","4.0","6.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-05","1.6","0.0","0.0","0.0",,"25.0","13.9","   40","   40","5.4","8.1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-06","1.9","0.0","0.0","0.0",,"26.7","17.2","  220","  220","5.4","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-07","2.5","2.0","0.0","0.0",,"25.6","17.2","  150","  180","5.8","10.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-08","2.0","0.8","0.0","0.0",,"27.8","18.9","  280","  280","5.4","8.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-09","3.0","21.1","0.0","0.0",,"27.2","18.3","  240","  250","8.1","13.0","    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-10","2.5","0.0","0.0","0.0",,"25.0","17.2","  260","  240","6.3","9.4",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-11","1.4","0.0","0.0","0.0",,"23.3","18.9","  230","  230","4.0","6.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-12","1.2","1.3","0.0","0.0",,"22.2","17.2","  130","  130","4.0","7.6","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-13","1.1","0.0","0.0","0.0",,"29.4","20.0","  310","  240","4.5","8.5","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-14","1.9","0.0","0.0","0.0",,"27.2","20.0","   50","   50","4.5","6.7",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2022-06-15","1.6","0.0","0.0","0.0",,"28.3","18.9","   60","   50","6.3","9.4",,,,,,"    1"
